entry_time,exit_time,side,contracts,entry_price,exit_price,pnl_points,gross_pnl,net_pnl,commission_exit,slippage_points_assumed
2020-03-25 10:42:00+00:00,2020-03-25 10:45:00+00:00,LONG,1,7545.75,7531.75,-14.0,-28.0,-28.5,0.5,0.25
2020-03-25 10:46:00+00:00,2020-03-25 10:49:00+00:00,LONG,1,7521.75,7530.25,8.5,17.0,16.5,0.5,0.25
2020-03-25 10:52:00+00:00,2020-03-25 10:57:00+00:00,LONG,1,7510.25,7471.25,-39.0,-78.0,-78.5,0.5,0.25
2020-03-25 10:59:00+00:00,2020-03-25 11:01:00+00:00,LONG,1,7447.25,7472.75,25.5,51.0,50.5,0.5,0.25
2020-03-25 13:14:00+00:00,2020-03-25 13:16:00+00:00,SHORT,1,7564.25,7549.75,14.5,29.0,28.5,0.5,0.25
2020-03-25 13:37:00+00:00,2020-03-25 13:38:00+00:00,SHORT,1,7642.5,7654.0,-11.5,-23.0,-23.5,0.5,0.25
2020-03-25 13:39:00+00:00,2020-03-25 13:41:00+00:00,SHORT,1,7662.5,7621.25,41.25,82.5,82.0,0.5,0.25
2020-03-25 14:01:00+00:00,2020-03-25 14:02:00+00:00,LONG,1,7474.5,7429.75,-44.75,-89.5,-90.0,0.5,0.25
2020-03-25 14:03:00+00:00,2020-03-25 14:06:00+00:00,LONG,1,7425.25,7454.75,29.5,59.0,58.5,0.5,0.25
2020-03-25 16:17:00+00:00,2020-03-25 16:19:00+00:00,SHORT,1,7573.0,7565.25,7.75,15.5,15.0,0.5,0.25
2020-03-25 16:23:00+00:00,2020-03-25 16:30:00+00:00,SHORT,1,7583.25,7582.75,0.5,1.0,0.5,0.5,0.25
2020-03-25 17:10:00+00:00,2020-03-25 17:11:00+00:00,SHORT,1,7652.25,7657.5,-5.25,-10.5,-11.0,0.5,0.25
2020-03-25 17:42:00+00:00,2020-03-25 17:49:00+00:00,SHORT,1,7732.25,7732.0,0.25,0.5,0.0,0.5,0.25
2020-03-25 18:06:00+00:00,2020-03-25 18:10:00+00:00,LONG,1,7640.75,7636.75,-4.0,-8.0,-8.5,0.5,0.25
2020-03-25 19:46:00+00:00,2020-03-25 19:56:00+00:00,LONG,1,7595.0,7472.0,-123.0,-246.0,-246.5,0.5,0.25
2020-03-25 19:57:00+00:00,2020-03-25 20:01:00+00:00,LONG,1,7475.25,7483.25,8.0,16.0,15.5,0.5,0.25
2020-03-25 20:03:00+00:00,2020-03-25 20:04:00+00:00,LONG,1,7471.25,7458.5,-12.75,-25.5,-26.0,0.5,0.25
2020-03-25 20:30:00+00:00,2020-03-25 20:31:00+00:00,LONG,1,7474.75,7472.0,-2.75,-5.5,-6.0,0.5,0.25
2020-03-25 20:53:00+00:00,2020-03-25 20:54:00+00:00,LONG,1,7468.5,7468.25,-0.25,-0.5,-1.0,0.5,0.25
2020-03-26 00:13:00+00:00,2020-03-26 00:15:00+00:00,SHORT,1,7512.75,7502.0,10.75,21.5,21.0,0.5,0.25
2020-03-26 00:23:00+00:00,2020-03-26 00:25:00+00:00,SHORT,1,7543.75,7528.75,15.0,30.0,29.5,0.5,0.25
2020-03-26 01:01:00+00:00,2020-03-26 01:06:00+00:00,LONG,1,7459.5,7422.75,-36.75,-73.5,-74.0,0.5,0.25
2020-03-26 01:07:00+00:00,2020-03-26 01:08:00+00:00,LONG,1,7427.5,7418.75,-8.75,-17.5,-18.0,0.5,0.25
2020-03-26 01:09:00+00:00,2020-03-26 01:11:00+00:00,LONG,1,7412.25,7436.0,23.75,47.5,47.0,0.5,0.25
2020-03-26 01:23:00+00:00,2020-03-26 01:24:00+00:00,LONG,1,7398.5,7397.5,-1.0,-2.0,-2.5,0.5,0.25
2020-03-26 01:27:00+00:00,2020-03-26 01:29:00+00:00,LONG,1,7386.0,7395.75,9.75,19.5,19.0,0.5,0.25
2020-03-26 02:13:00+00:00,2020-03-26 02:16:00+00:00,LONG,1,7358.75,7372.75,14.0,28.0,27.5,0.5,0.25
2020-03-26 05:51:00+00:00,2020-03-26 05:56:00+00:00,LONG,1,7399.25,7388.25,-11.0,-22.0,-22.5,0.5,0.25
2020-03-26 07:01:00+00:00,2020-03-26 07:04:00+00:00,LONG,1,7366.75,7357.75,-9.0,-18.0,-18.5,0.5,0.25
2020-03-26 08:07:00+00:00,2020-03-26 08:10:00+00:00,SHORT,1,7386.5,7369.0,17.5,35.0,34.5,0.5,0.25
2020-03-26 09:05:00+00:00,2020-03-26 09:06:00+00:00,SHORT,1,7372.25,7372.25,-0.0,-0.0,-0.5,0.5,0.25
2020-03-26 09:52:00+00:00,2020-03-26 09:53:00+00:00,LONG,1,7361.5,7356.0,-5.5,-11.0,-11.5,0.5,0.25
2020-03-26 11:48:00+00:00,2020-03-26 11:49:00+00:00,LONG,1,7393.0,7371.75,-21.25,-42.5,-43.0,0.5,0.25
2020-03-26 11:50:00+00:00,2020-03-26 11:56:00+00:00,LONG,1,7368.75,7361.25,-7.5,-15.0,-15.5,0.5,0.25
2020-03-26 11:57:00+00:00,2020-03-26 11:58:00+00:00,LONG,1,7364.5,7353.5,-11.0,-22.0,-22.5,0.5,0.25
2020-03-26 11:59:00+00:00,2020-03-26 12:01:00+00:00,LONG,1,7351.25,7343.0,-8.25,-16.5,-17.0,0.5,0.25
2020-03-26 12:02:00+00:00,2020-03-26 12:04:00+00:00,LONG,1,7347.75,7346.5,-1.25,-2.5,-3.0,0.5,0.25
2020-03-26 12:06:00+00:00,2020-03-26 12:07:00+00:00,LONG,1,7348.0,7346.75,-1.25,-2.5,-3.0,0.5,0.25
2020-03-26 12:11:00+00:00,2020-03-26 12:17:00+00:00,LONG,1,7329.25,7342.5,13.25,26.5,26.0,0.5,0.25
2020-03-26 12:59:00+00:00,2020-03-26 13:01:00+00:00,SHORT,1,7468.25,7447.25,21.0,42.0,41.5,0.5,0.25
2020-03-26 13:08:00+00:00,2020-03-26 13:11:00+00:00,SHORT,1,7491.5,7475.75,15.75,31.5,31.0,0.5,0.25
2020-03-26 13:27:00+00:00,2020-03-26 13:28:00+00:00,SHORT,1,7521.5,7515.25,6.25,12.5,12.0,0.5,0.25
2020-03-26 13:31:00+00:00,2020-03-26 13:33:00+00:00,SHORT,1,7585.75,7553.5,32.25,64.5,64.0,0.5,0.25
2020-03-26 13:37:00+00:00,2020-03-26 13:38:00+00:00,SHORT,1,7605.25,7611.25,-6.0,-12.0,-12.5,0.5,0.25
2020-03-26 13:39:00+00:00,2020-03-26 13:42:00+00:00,SHORT,1,7629.75,7618.75,11.0,22.0,21.5,0.5,0.25
2020-03-26 15:33:00+00:00,2020-03-26 15:34:00+00:00,SHORT,1,7740.75,7741.25,-0.5,-1.0,-1.5,0.5,0.25
